Time,Date,Plot
13:57:38,7/19/24,100
13:57:39,7/19/24,-10
13:57:39,7/19/24,40
13:57:39,7/19/24,59
13:57:39,7/19/24,59
13:57:39,7/19/24,39
13:57:40,7/19/24,67
13:57:40,7/19/24,51
13:57:40,7/19/24,4
13:57:40,7/19/24,70
13:57:40,7/19/24,165
13:57:41,7/19/24,29
13:57:41,7/19/24,72
13:57:41,7/19/24,-10
13:57:41,7/19/24,-19
13:57:41,7/19/24,-34
13:57:42,7/19/24,35
13:57:42,7/19/24,6
13:57:42,7/19/24,32
13:57:42,7/19/24,39
13:57:42,7/19/24,66
13:57:43,7/19/24,93
13:57:43,7/19/24,17
13:57:43,7/19/24,-3
13:57:43,7/19/24,-5
13:57:43,7/19/24,30
13:57:44,7/19/24,109
13:57:44,7/19/24,57
13:57:44,7/19/24,128
13:57:44,7/19/24,18
13:57:44,7/19/24,60
13:57:45,7/19/24,88
13:57:45,7/19/24,120
13:57:45,7/19/24,57
13:57:45,7/19/24,22
13:57:45,7/19/24,100
13:57:46,7/19/24,48
13:57:46,7/19/24,90
13:57:46,7/19/24,19
13:57:46,7/19/24,43
13:57:46,7/19/24,6
13:57:47,7/19/24,71
13:57:47,7/19/24,100
13:57:47,7/19/24,-36
13:57:47,7/19/24,53
13:57:47,7/19/24,60
13:57:48,7/19/24,83
13:57:48,7/19/24,73
13:57:48,7/19/24,35
13:57:48,7/19/24,24
13:57:48,7/19/24,32
13:57:49,7/19/24,55
13:57:49,7/19/24,75
13:57:49,7/19/24,-1
13:57:49,7/19/24,45
13:57:49,7/19/24,60
13:57:50,7/19/24,-5
13:57:50,7/19/24,54
13:57:50,7/19/24,52
13:57:50,7/19/24,6
13:57:50,7/19/24,34
13:57:51,7/19/24,86
13:57:51,7/19/24,28
13:57:51,7/19/24,44
13:57:51,7/19/24,45
13:57:51,7/19/24,59
13:57:52,7/19/24,-43
13:57:52,7/19/24,-89
13:57:52,7/19/24,52
13:57:52,7/19/24,3
13:57:52,7/19/24,-39
13:57:53,7/19/24,32
13:57:53,7/19/24,24
13:57:53,7/19/24,31
13:57:53,7/19/24,74
13:57:53,7/19/24,-35
13:57:54,7/19/24,73
13:57:54,7/19/24,-56
13:57:54,7/19/24,46
13:57:54,7/19/24,24
13:57:54,7/19/24,76
13:57:55,7/19/24,40
13:57:55,7/19/24,107
13:57:55,7/19/24,72
13:57:55,7/19/24,35
13:57:55,7/19/24,15
13:57:56,7/19/24,42
13:57:56,7/19/24,-3
13:57:56,7/19/24,15
13:57:56,7/19/24,-7
13:57:56,7/19/24,6
13:57:57,7/19/24,56
13:57:57,7/19/24,32
13:57:57,7/19/24,17
13:57:57,7/19/24,-3
13:57:57,7/19/24,39
13:57:58,7/19/24,30
13:57:58,7/19/24,38
13:57:58,7/19/24,22
13:57:58,7/19/24,12
13:57:58,7/19/24,76
13:57:59,7/19/24,27
13:57:59,7/19/24,25
13:57:59,7/19/24,57
13:57:59,7/19/24,114
13:57:59,7/19/24,2
13:58:00,7/19/24,123
13:58:00,7/19/24,50
13:58:00,7/19/24,25
13:58:00,7/19/24,43
13:58:00,7/19/24,-6
13:58:01,7/19/24,34
13:58:01,7/19/24,-18
13:58:01,7/19/24,-1
13:58:01,7/19/24,-15
13:58:01,7/19/24,107
13:58:02,7/19/24,37
13:58:02,7/19/24,110
13:58:02,7/19/24,16
13:58:02,7/19/24,41
13:58:02,7/19/24,-5
13:58:03,7/19/24,26
13:58:03,7/19/24,-14
13:58:03,7/19/24,3
13:58:03,7/19/24,39
13:58:03,7/19/24,46
13:58:04,7/19/24,-6
13:58:04,7/19/24,42
13:58:04,7/19/24,21
13:58:04,7/19/24,128
13:58:04,7/19/24,-7
13:58:05,7/19/24,75
